,image_id,width,height,x,y,w,h,class
0,3,1622,626,880,333,19,18,2
1,5,1622,626,1069,355,83,83,3
2,5,1622,626,768,480,9,7,2
3,6,1622,626,781,337,17,15,6
4,16,1622,626,733,352,7,8,2
5,17,1622,626,1024,160,75,72,2
6,18,1622,626,1138,295,47,41,2
7,18,1622,626,986,371,11,9,3
8,18,1622,626,979,363,8,6,2
9,18,1622,626,290,295,38,41,5
10,21,1622,626,822,314,22,22,3
11,21,1622,626,697,321,8,6,2
12,22,1622,626,1021,140,140,130,2
13,25,1622,626,1097,137,63,57,3
14,25,1622,626,860,222,16,13,2
15,25,1622,626,858,208,17,13,5
16,28,1622,626,320,438,26,24,2
17,28,1622,626,775,455,13,13,2
18,29,1622,626,965,202,10,16,2
19,32,1622,626,586,238,11,11,6
20,33,1622,626,400,361,59,59,4
21,35,1622,626,228,186,41,40,5
22,37,1622,626,885,179,30,32,2
23,40,1622,626,42,418,29,20,5
24,40,1622,626,873,414,22,19,1
25,40,1622,626,1094,415,10,9,4
26,47,1622,626,906,316,26,25,5
27,50,1622,626,1340,377,56,44,2
28,50,1622,626,1266,395,25,22,3
29,50,1622,626,976,420,6,5,5
30,50,1622,626,403,412,51,53,1
31,51,1622,626,869,265,37,35,2
32,55,1622,626,1370,225,88,91,3
33,55,1622,626,718,317,9,8,2
34,59,1622,626,1338,391,25,23,4
35,59,1622,626,1394,388,29,24,5
36,61,1622,626,1156,291,46,38,3
37,63,1622,626,1179,414,35,30,6
38,65,1622,626,822,253,13,10,2
39,74,1622,626,1118,304,17,34,5
40,74,1622,626,911,293,18,17,2
41,77,1622,626,1081,456,37,29,6
42,77,1622,626,1081,427,33,26,6
43,79,1622,626,1442,351,53,36,7
44,86,1622,626,175,178,100,82,1
45,86,1622,626,178,264,98,85,7
46,89,1622,626,780,205,10,10,5
47,89,1622,626,780,215,11,10,2
48,89,1622,626,1363,223,16,14,6
49,98,1622,626,713,393,26,28,1
50,98,1622,626,1115,392,19,16,4
51,104,1622,626,671,272,91,86,6
52,107,1622,626,1214,392,18,14,4
53,108,1622,626,1338,461,41,35,6
54,108,1622,626,1168,477,18,14,6
55,109,1622,626,1009,221,53,40,6
56,121,1622,626,1439,127,166,109,3
57,121,1622,626,982,357,17,13,2
58,123,1622,626,1340,144,91,109,6
59,123,1622,626,838,216,12,22,2
60,123,1622,626,841,193,9,22,5
61,124,1622,626,936,184,40,42,2
62,130,1622,626,1001,427,14,11,5
63,130,1622,626,1021,414,21,17,6
64,130,1622,626,1023,432,23,17,6
65,133,1622,626,1496,292,125,144,6
66,138,1622,626,1417,390,23,15,7
67,147,1622,626,1460,167,67,66,2
68,149,1622,626,761,405,12,13,1
69,151,1622,626,1488,386,49,31,6
70,151,1622,626,983,404,5,5,1
71,155,1622,626,1136,174,48,44,2
72,155,1622,626,1133,255,52,45,2
73,156,1622,626,1385,391,46,35,6
